datetime,flow
2020-06-01T10:56:00Z,0
2020-06-01T10:57:00Z,0
2020-06-01T10:58:00Z,0
2020-06-01T10:59:00Z,0
2020-06-01T11:00:00Z,0
2020-06-01T11:01:00Z,0
2020-06-01T11:02:00Z,0
2020-06-01T11:03:00Z,0
2020-06-01T11:04:00Z,0
2020-06-01T11:05:00Z,0
2020-06-01T11:06:00Z,0
2020-06-01T11:07:00Z,0
2020-06-01T11:08:00Z,0
2020-06-01T11:09:00Z,0
2020-06-01T11:10:00Z,0
2020-06-01T11:11:00Z,0
2020-06-01T11:12:00Z,0
2020-06-01T11:13:00Z,0
2020-06-01T11:14:00Z,0
2020-06-01T11:15:00Z,0
2020-06-01T11:16:00Z,0
2020-06-01T11:17:00Z,3.16e-4
2020-06-01T11:18:00Z,0.001048
2020-06-01T11:19:00Z,0.002056
2020-06-01T11:20:00Z,0.003201
2020-06-01T11:21:00Z,0.004383
2020-06-01T11:22:00Z,0.00553
2020-06-01T11:23:00Z,0.0066
2020-06-01T11:24:00Z,0.007573
2020-06-01T11:25:00Z,0.008447
2020-06-01T11:26:00Z,0.00923
2020-06-01T11:27:00Z,0.009945
2020-06-01T11:28:00Z,0.010608
2020-06-01T11:29:00Z,0.011231
2020-06-01T11:30:00Z,0.011826
2020-06-01T11:31:00Z,0.012403
2020-06-01T11:32:00Z,0.012968
2020-06-01T11:33:00Z,0.013603
2020-06-01T11:34:00Z,0.014314
2020-06-01T11:35:00Z,0.015092
2020-06-01T11:36:00Z,0.015931
2020-06-01T11:37:00Z,0.016826
2020-06-01T11:38:00Z,0.017774
2020-06-01T11:39:00Z,0.018987
2020-06-01T11:40:00Z,0.020472
2020-06-01T11:41:00Z,0.0222
2020-06-01T11:42:00Z,0.024148
2020-06-01T11:43:00Z,0.026301
2020-06-01T11:44:00Z,0.028646
2020-06-01T11:45:00Z,0.031619
2020-06-01T11:46:00Z,0.035232
2020-06-01T11:47:00Z,0.039416
2020-06-01T11:48:00Z,0.044119
2020-06-01T11:49:00Z,0.049297
2020-06-01T11:50:00Z,0.054912
2020-06-01T11:51:00Z,0.062035
2020-06-01T11:52:00Z,0.070545
2020-06-01T11:53:00Z,0.080131
2020-06-01T11:54:00Z,0.090551
2020-06-01T11:55:00Z,0.101593
2020-06-01T11:56:00Z,0.113057
