SWMM5 Inflows Interface File
Inflows rate to nodes
60
1
FLOW CFS
1
J1
Node Year Mon Day Hr Min Sec Flow
J1 2020 06 01 05 12 00 1e-06
J1 2020 06 01 05 13 00 1e-06
J1 2020 06 01 05 14 00 1e-06
J1 2020 06 01 05 15 00 1e-06
J1 2020 06 01 05 16 00 1e-06
J1 2020 06 01 05 17 00 1e-06
J1 2020 06 01 05 18 00 1e-06
J1 2020 06 01 05 19 00 1e-06
J1 2020 06 01 05 20 00 1e-06
J1 2020 06 01 05 21 00 1e-06
J1 2020 06 01 05 22 00 1e-06
J1 2020 06 01 05 23 00 1e-06
J1 2020 06 01 05 24 00 1e-06
J1 2020 06 01 05 25 00 1e-06
J1 2020 06 01 05 26 00 1e-06
J1 2020 06 01 05 27 00 1e-06
J1 2020 06 01 05 28 00 1e-06
J1 2020 06 01 05 29 00 1e-06
J1 2020 06 01 05 30 00 1e-06
J1 2020 06 01 05 31 00 1e-06
J1 2020 06 01 05 32 00 1e-06
J1 2020 06 01 05 33 00 1e-06
J1 2020 06 01 05 34 00 1e-06
J1 2020 06 01 05 35 00 1e-06
J1 2020 06 01 05 36 00 1e-06
J1 2020 06 01 05 37 00 1e-06
J1 2020 06 01 05 38 00 1e-06
J1 2020 06 01 05 39 00 1e-06
J1 2020 06 01 05 40 00 1e-06
J1 2020 06 01 05 41 00 1e-06
J1 2020 06 01 05 42 00 1e-06
J1 2020 06 01 05 43 00 1e-06
J1 2020 06 01 05 44 00 1e-06
J1 2020 06 01 05 45 00 1e-06
J1 2020 06 01 05 46 00 1e-06
J1 2020 06 01 05 47 00 1e-06
J1 2020 06 01 05 48 00 1e-06
J1 2020 06 01 05 49 00 1e-06
J1 2020 06 01 05 50 00 1e-06
J1 2020 06 01 05 51 00 1e-06
J1 2020 06 01 05 52 00 1e-06
J1 2020 06 01 05 53 00 1e-06
J1 2020 06 01 05 54 00 1e-06
J1 2020 06 01 05 55 00 1e-06
J1 2020 06 01 05 56 00 1e-06
J1 2020 06 01 05 57 00 1e-06
J1 2020 06 01 05 58 00 1e-06
J1 2020 06 01 05 59 00 1e-06
J1 2020 06 01 06 00 00 1e-06
J1 2020 06 01 06 01 00 1e-06
J1 2020 06 01 06 02 00 1e-06
J1 2020 06 01 06 03 00 1e-06
J1 2020 06 01 06 04 00 1e-06
J1 2020 06 01 06 05 00 1e-06
J1 2020 06 01 06 06 00 1e-06
J1 2020 06 01 06 07 00 1e-06
J1 2020 06 01 06 08 00 1e-06
J1 2020 06 01 06 09 00 1e-06
J1 2020 06 01 06 10 00 1e-06
J1 2020 06 01 06 11 00 1e-06
J1 2020 06 01 06 12 00 1e-06
J1 2020 06 01 06 13 00 1e-06
J1 2020 06 01 06 14 00 1e-06
J1 2020 06 01 06 15 00 1e-06
J1 2020 06 01 06 16 00 1e-06
J1 2020 06 01 06 17 00 1e-06
J1 2020 06 01 06 18 00 1e-06
J1 2020 06 01 06 19 00 1e-06
J1 2020 06 01 06 20 00 1e-06
